rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis;Passes completados_man;Passes completados_vis;Laterais cobrados_man;Laterais cobrados_vis
29;São Paulo;Santos;0;1;69%;31%;26;7;5;2;14;1;7;4;21;18;8;3;0;0;1;5;19;21;2;4;533;251;4;18;138;63;71;29;;;;;;;;
29;Fortaleza;Grêmio;0;0;54%;46%;14;11;5;3;4;4;5;4;13;20;4;5;3;1;3;5;17;12;4;2;449;369;11;10;123;100;36;42;;;;;;;;
29;Coritiba;Athletico-PR;0;0;41%;59%;13;3;2;1;8;1;3;1;10;11;3;2;0;0;1;2;11;10;2;1;388;578;14;10;84;121;55;26;;;;;;;;
29;Sport;Palmeiras;0;1;58%;42%;11;12;5;4;4;6;2;2;23;17;7;6;2;2;3;5;15;21;5;3;515;366;8;21;127;103;76;38;;;;;;;;
28;Atlético-GO;Vasco;0;0;44%;56%;8;15;3;6;4;6;1;3;19;21;3;4;2;2;6;3;19;17;3;2;336;422;13;7;85;106;41;46;;;;;;;;
28;Ceará;Internacional;0;2;60%;40%;19;8;6;3;6;3;7;2;17;17;7;4;0;0;1;6;18;16;6;4;495;329;18;9;107;85;50;42;;;;;;;;
28;Flamengo;Fluminense;1;2;72%;28%;19;11;8;5;7;4;4;2;24;12;11;4;0;2;3;7;12;22;1;4;673;252;16;11;168;68;84;28;;;;;;;;
28;Red Bull Bragantino;São Paulo;4;2;48%;52%;23;8;10;4;11;2;2;2;7;17;4;5;0;3;2;6;17;4;2;2;457;489;20;9;102;88;45;37;0;1;;;;;;
28;Coritiba;Goiás;1;2;56%;44%;16;11;2;5;11;2;3;4;19;14;6;4;2;2;3;1;13;19;4;3;463;359;17;15;124;111;44;37;;;;;;;;
28;Sport;Fortaleza;1;0;35%;65%;6;17;1;1;2;9;3;7;13;14;4;8;0;1;1;0;14;12;3;1;270;495;14;13;79;139;39;92;;;;;;;;
28;Botafogo;Athletico-PR;0;2;61%;39%;25;8;8;4;11;4;6;0;22;18;3;3;4;1;2;8;14;21;3;2;506;325;7;14;150;63;66;27;;;;;;;;
28;Grêmio;Bahia;2;1;49%;51%;11;17;2;5;4;8;5;4;18;11;3;10;0;1;4;0;11;17;2;4;405;410;11;10;107;97;31;60;;;;;;;;
27;Grêmio;Atlético-GO;2;1;45%;55%;10;9;4;2;4;5;2;2;17;12;5;9;1;1;1;2;11;15;2;3;405;476;10;12;99;111;55;51;;;;;;;;
27;Athletico-PR;Vasco;3;0;56%;44%;16;11;8;4;6;5;2;2;14;15;6;5;1;3;4;5;14;11;0;1;481;374;14;9;85;100;42;30;;;;;;;;
27;Palmeiras;Red Bull Bragantino;1;0;41%;59%;6;21;1;2;5;10;0;9;7;11;5;8;1;1;2;0;10;6;3;0;345;484;9;12;68;117;31;59;;;;;;;;
27;Santos;Ceará;1;1;65%;35%;11;11;5;4;2;5;4;2;25;17;11;2;2;1;3;4;15;24;2;3;473;257;12;34;120;85;72;28;;;;;;;;
27;Bahia;Internacional;1;2;51%;49%;14;15;3;10;9;2;2;3;14;17;6;7;0;2;8;2;18;12;3;1;375;359;31;16;103;99;46;56;;;;;;;;
27;Botafogo;Corinthians;0;2;46%;54%;11;13;1;6;9;4;1;3;22;21;2;7;2;2;4;1;19;20;1;1;451;508;11;10;101;117;34;65;;;;;;;;
27;Fluminense;São Paulo;1;2;41%;59%;9;12;1;5;8;1;0;6;22;17;0;2;0;0;3;0;17;22;3;1;398;579;22;16;89;114;29;37;;;;;;;;
27;Fortaleza;Flamengo;0;0;36%;64%;11;13;4;2;6;6;1;5;13;22;4;4;1;0;2;4;22;14;3;3;292;518;12;18;94;115;45;57;;;;;;;;
27;Goiás;Sport;1;0;39%;61%;10;16;3;4;6;6;1;6;22;22;4;5;0;4;4;2;22;18;4;1;315;501;18;13;100;127;28;77;;;;;;;;
27;Atlético-MG;Coritiba;2;0;70%;30%;25;7;9;3;7;4;9;0;15;16;13;3;0;2;3;7;15;13;;;664;281;17;11;146;52;98;22;;;;;;;;
26;Corinthians;Goiás;2;1;63%;37%;19;17;6;7;10;6;3;4;17;15;12;4;5;2;6;4;11;15;1;0;536;310;12;14;127;90;82;42;;;;;;;;
26;Fortaleza;Ceará;0;2;60%;40%;10;6;0;5;6;1;4;0;17;17;5;1;0;0;3;0;18;17;1;1;402;270;11;10;110;88;49;25;1;0;;;;;;
26;Flamengo;Bahia;4;3;49%;51%;16;17;5;6;5;2;6;9;23;19;7;8;2;1;3;1;17;22;1;3;382;396;11;20;93;97;36;58;1;1;;;;;;
26;Red Bull Bragantino;Athletico-PR;0;1;69%;31%;21;4;6;1;10;2;5;1;24;13;17;4;6;6;0;6;8;17;2;5;499;225;12;13;119;44;104;19;;;;;;;;
26;Vasco;Santos;1;0;35%;65%;4;19;2;5;1;9;1;5;16;27;1;2;0;1;5;1;26;15;2;0;252;452;15;19;95;120;28;59;;;;;;;;
