rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis
26;São Paulo;Ceará;1;1;64%;36%;23;12;8;7;10;3;5;2;21;28;10;10;3;0;15;19;6;7;18;14;3;3;421;237;14;12;112;94;52;29;;
26;Internacional;América-MG;3;1;49%;51%;10;10;6;2;4;4;0;4;23;23;4;6;2;1;20;13;1;3;21;23;1;2;356;370;19;17;120;113;41;38;;
26;Corinthians;Fluminense;1;0;53%;47%;8;13;1;4;5;7;2;2;9;5;8;3;1;0;16;15;4;0;4;9;1;1;561;503;11;33;109;85;60;40;;
26;Fortaleza;Grêmio;1;0;48%;52%;22;13;8;5;10;5;4;3;19;13;10;4;0;2;16;13;5;7;13;17;2;2;392;439;9;13;118;102;60;28;;
26;Atlético-MG;Santos;3;1;60%;40%;14;5;6;1;8;3;0;1;11;8;4;2;0;1;12;15;0;3;10;13;2;6;500;336;14;13;119;76;62;24;;
26;Chapecoense;Athletico-PR;1;1;38%;62%;20;14;6;3;5;8;9;3;13;21;5;8;3;0;20;38;2;5;17;13;4;5;314;513;15;8;76;106;21;49;;
26;Flamengo;Juventude;3;1;63%;37%;14;10;6;2;4;7;4;1;15;17;6;6;0;1;14;9;1;3;17;14;2;3;552;311;25;23;134;85;51;23;;
26;Bahia;Palmeiras;0;0;51%;49%;17;9;5;2;5;5;7;2;21;29;14;5;3;1;21;14;2;5;22;13;4;2;375;378;21;14;109;99;74;28;0;1
26;Red Bull Bragantino;Atlético-GO;1;0;39%;61%;11;5;3;3;4;2;4;0;16;20;5;4;0;0;21;19;3;2;12;13;3;4;307;482;19;11;98;115;37;54;1;0
25;Cuiabá;São Paulo;0;0;35%;65%;15;9;6;2;8;5;1;2;16;15;4;2;1;0;13;19;2;6;14;16;2;2;300;569;18;12;73;131;51;47;;
