rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
17;Benfica;Ferreira;2;0;72%;28%;22;6;6;1;13;2;3;3;;;9;1;5;3;;;1;4;17;12;2;3;622;299;;;15;16;186;65;111;20;0;1;;
17;Braga;Famalicao;2;2;50%;50%;17;10;8;7;6;2;3;1;;;5;2;1;2;;;5;6;12;12;2;4;512;526;;;9;14;95;108;47;38;1;0;;
17;Portimonense;Maritimo;1;2;52%;48%;18;17;4;8;9;7;5;2;;;7;4;3;1;;;6;3;11;15;4;3;546;323;;;17;13;137;93;68;23;;;;
17;Boavista;Tondela;1;1;60%;40%;18;5;4;2;9;3;5;0;;;9;4;0;1;;;1;3;21;16;3;1;544;300;;;13;23;145;61;59;20;;;;
17;Estoril;FC Porto;2;3;44%;56%;7;23;2;10;2;4;3;9;;;2;7;2;2;;;7;0;15;18;4;2;282;512;;;9;11;58;129;32;58;;;;
17;Vizela;Moreirense;0;1;48%;52%;15;14;3;4;8;8;4;2;;;8;5;4;2;;;3;3;10;19;0;6;368;352;;;17;16;104;104;56;45;1;0;;
17;Santa Clara;Sporting;3;2;39%;61%;9;19;5;5;4;9;0;5;;;3;3;1;0;;;3;2;32;12;6;3;299;558;;;18;18;79;140;18;58;0;1;;
13;Tondela;Moreirense;2;1;46%;54%;10;9;5;5;5;3;0;1;;;1;3;3;4;;;4;3;12;21;2;2;406;410;;;21;25;107;115;32;46;;;;
13;Vizela;BSAD;2;0;41%;59%;12;19;4;7;4;7;4;5;;;4;10;2;1;;;7;2;12;21;1;4;312;487;;;16;19;75;128;48;55;;;;
16;FC Porto;Benfica;3;1;48%;52%;15;13;6;5;3;5;6;3;;;5;7;3;1;;;4;3;13;13;3;5;439;358;;;28;12;78;103;31;38;0;1;;
